"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.513388075687255,"APP"
"8739_copy1","8739_copy2",0.486611924312745,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.508032845412353,"GAP"
"8739_copy1","8739_copy2",0.491967154587647,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.491788646911817,"IBR"
"8739_copy1","8739_copy2",0.508211353088183,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.481435201713674,"PGI"
"8739_copy1","8739_copy2",0.518564798286326,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
