"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.518921813637986,"APP"
"7943_copy1","7943_copy2",0.481078186362014,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.50089253837915,"GAP"
"7943_copy1","7943_copy2",0.49910746162085,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.497679400214209,"IBR"
"7943_copy1","7943_copy2",0.502320599785791,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.497500892538379,"PGI"
"7943_copy1","7943_copy2",0.502499107461621,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
