"C_fragilis_sp1_7009_A","C_fragilis_sp1_7009_B","joint_prob","locus"
"7009_copy1","7009_copy2",1,"APP"
"7009_BLANK","7009_BLANK",0,"GAP"
"7009_copy1","7009_BLANK",0.00142806140664049,"GAP"
"7009_BLANK","7009_copy1",0.998571938593359,"GAP"
"7009_copy1","7009_copy1",0,"GAP"
"7009_copy1","7009_copy2",1,"IBR"
"7009_copy1","7009_copy1",0,"PGI"
"7009_copy2","7009_copy1",0.0149946447697251,"PGI"
"7009_copy1","7009_copy2",0.985005355230275,"PGI"
"7009_copy2","7009_copy2",0,"PGI"
