"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.49946447697251,"APP"
"7943_copy1","7943_copy2",0.50053552302749,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.49982149232417,"GAP"
"7943_copy1","7943_copy2",0.50017850767583,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.483577293823634,"IBR"
"7943_copy1","7943_copy2",0.516422706176366,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.50035701535166,"PGI"
"7943_copy1","7943_copy2",0.49964298464834,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
