"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.506604784005712,"APP"
"6055_copy1","6055_copy2",0.493395215994288,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.50053552302749,"GAP"
"6055_copy1","6055_copy2",0.49946447697251,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.518743305962156,"IBR"
"6055_copy1","6055_copy2",0.481256694037844,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.512317029632274,"PGI"
"6055_copy1","6055_copy2",0.487682970367726,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
