"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.477329525169582,"APP"
"8739_copy1","8739_copy2",0.522670474830418,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.485183862906105,"GAP"
"8739_copy1","8739_copy2",0.514816137093895,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.498036415565869,"IBR"
"8739_copy1","8739_copy2",0.501963584434131,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.502142092109961,"PGI"
"8739_copy1","8739_copy2",0.497857907890039,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
