"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.513209568011424,"APP"
"7943_copy1","7943_copy2",0.486790431988576,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.513031060335594,"GAP"
"7943_copy1","7943_copy2",0.486968939664406,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.486968939664406,"IBR"
"7943_copy1","7943_copy2",0.513031060335594,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.482327740092824,"PGI"
"7943_copy1","7943_copy2",0.517672259907176,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
