"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.475365940735452,"APP"
"8739_copy1","8739_copy2",0.524634059264548,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.4709032488397,"GAP"
"8739_copy1","8739_copy2",0.5290967511603,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.49964298464834,"IBR"
"8739_copy1","8739_copy2",0.50035701535166,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.509996429846483,"PGI"
"8739_copy1","8739_copy2",0.490003570153517,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
