"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.505890753302392,"APP"
"7943_copy1","7943_copy2",0.494109246697608,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.505355230274902,"GAP"
"7943_copy1","7943_copy2",0.494644769725098,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.476436986790432,"IBR"
"7943_copy1","7943_copy2",0.523563013209568,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.492859692966798,"PGI"
"7943_copy1","7943_copy2",0.507140307033202,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
