"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.532666904676901,"APP"
"8739_copy1","8739_copy2",0.467333095323099,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.535344519814352,"GAP"
"8739_copy1","8739_copy2",0.464655480185648,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.485540878257765,"IBR"
"8739_copy1","8739_copy2",0.514459121742235,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.485719385933595,"PGI"
"8739_copy1","8739_copy2",0.514280614066405,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
