"C_fragilis_sp2_7248_A","C_fragilis_sp2_7248_B","joint_prob","locus"
"7248_copy2","7248_copy1",1,"APP"
"7248_copy1","7248_copy2",1,"GAP"
"7248_copy1","7248_copy1",0,"IBR"
"7248_copy2","7248_copy1",0.925919314530525,"IBR"
"7248_copy1","7248_copy2",0.0740806854694752,"IBR"
"7248_copy2","7248_copy2",0,"IBR"
"7248_copy1","7248_copy2",1,"PGI"
