"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.483398786147804,"APP"
"6055_copy1","6055_copy2",0.516601213852196,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.511781506604784,"GAP"
"6055_copy1","6055_copy2",0.488218493395216,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.477686540521242,"IBR"
"6055_copy1","6055_copy2",0.522313459478758,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.475722956087112,"PGI"
"6055_copy1","6055_copy2",0.524277043912888,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
