"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.510710460549804,"APP"
"7943_copy1","7943_copy2",0.489289539450196,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.496786861835059,"GAP"
"7943_copy1","7943_copy2",0.503213138164941,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.482684755444484,"IBR"
"7943_copy1","7943_copy2",0.517315244555516,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.503213138164941,"PGI"
"7943_copy1","7943_copy2",0.496786861835059,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
