"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.435915744377008,"APP"
"8739_copy1","8739_copy2",0.564084255622992,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.41110317743663,"GAP"
"8739_copy1","8739_copy2",0.58889682256337,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.492859692966798,"IBR"
"8739_copy1","8739_copy2",0.507140307033202,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.52838272045698,"PGI"
"8739_copy1","8739_copy2",0.47161727954302,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
