"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.486076401285255,"APP"
"6055_copy1","6055_copy2",0.513923598714745,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.495180292752588,"GAP"
"6055_copy1","6055_copy2",0.504819707247412,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.477151017493752,"IBR"
"6055_copy1","6055_copy2",0.522848982506248,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.46965369510889,"PGI"
"6055_copy1","6055_copy2",0.53034630489111,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
