"C_diaphana_6380_A","C_diaphana_6380_B","joint_prob","locus"
"6380_BLANK","6380_BLANK",0,"APP"
"6380_BLANK2","6380_BLANK",0.488218493395216,"APP"
"6380_BLANK","6380_BLANK2",0.511781506604784,"APP"
"6380_BLANK2","6380_BLANK2",0,"APP"
"6380_copy1","6380_copy1",0,"GAP"
"6380_copy2","6380_copy1",0.507497322384863,"GAP"
"6380_copy1","6380_copy2",0.492502677615137,"GAP"
"6380_copy2","6380_copy2",0,"GAP"
"6380_BLANK","6380_BLANK",0,"IBR"
"6380_BLANK2","6380_BLANK",0.504819707247412,"IBR"
"6380_BLANK","6380_BLANK2",0.495180292752588,"IBR"
"6380_BLANK2","6380_BLANK2",0,"IBR"
"6380_copy1","6380_copy1",0,"PGI"
"6380_copy2","6380_copy1",0.515887183148875,"PGI"
"6380_copy1","6380_copy2",0.484112816851125,"PGI"
"6380_copy2","6380_copy2",0,"PGI"
