"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.513388075687255,"APP"
"6055_copy1","6055_copy2",0.486611924312745,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.495001785076758,"GAP"
"6055_copy1","6055_copy2",0.504998214923242,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.512317029632274,"IBR"
"6055_copy1","6055_copy2",0.487682970367726,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.512674044983934,"PGI"
"6055_copy1","6055_copy2",0.487325955016066,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
