"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.475187433059622,"APP"
"6055_copy1","6055_copy2",0.524812566940378,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.50107104605498,"GAP"
"6055_copy1","6055_copy2",0.49892895394502,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.497143877186719,"IBR"
"6055_copy1","6055_copy2",0.502856122813281,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.511067475901464,"PGI"
"6055_copy1","6055_copy2",0.488932524098536,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
