"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.490182077829347,"APP"
"8739_copy1","8739_copy2",0.509817922170653,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.496608354159229,"GAP"
"8739_copy1","8739_copy2",0.503391645840771,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.508032845412353,"IBR"
"8739_copy1","8739_copy2",0.491967154587647,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.501428061406641,"PGI"
"8739_copy1","8739_copy2",0.49857193859336,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
