"C_montana_7943_A","C_montana_7943_B","joint_prob","locus"
"7943_copy1","7943_copy1",0,"APP"
"7943_copy2","7943_copy1",0.486076401285255,"APP"
"7943_copy1","7943_copy2",0.513923598714745,"APP"
"7943_copy2","7943_copy2",0,"APP"
"7943_copy1","7943_copy1",0,"GAP"
"7943_copy2","7943_copy1",0.508389860764013,"GAP"
"7943_copy1","7943_copy2",0.491610139235987,"GAP"
"7943_copy2","7943_copy2",0,"GAP"
"7943_copy1","7943_copy1",0,"IBR"
"7943_copy2","7943_copy1",0.507675830060693,"IBR"
"7943_copy1","7943_copy2",0.492324169939307,"IBR"
"7943_copy2","7943_copy2",0,"IBR"
"7943_copy1","7943_copy1",0,"PGI"
"7943_copy2","7943_copy1",0.505355230274902,"PGI"
"7943_copy1","7943_copy2",0.494644769725098,"PGI"
"7943_copy2","7943_copy2",0,"PGI"
