"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.503034630489111,"APP"
"6055_copy1","6055_copy2",0.496965369510889,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.493930739021778,"GAP"
"6055_copy1","6055_copy2",0.506069260978222,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.504284184219921,"IBR"
"6055_copy1","6055_copy2",0.495715815780079,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.49910746162085,"PGI"
"6055_copy1","6055_copy2",0.50089253837915,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
